num1,oneThird,slug,23ex,15ex,25ex,35ex,ex1,ex1Link,ex2,ex2Link
1,0.333333333,1-3rd-of-1,2-3rd-of-1,1-5th-of-1,2-5th-of-1,3-5th-of-1,2,1-3rd-of-2,3,1-3rd-of-3
2,0.666666667,1-3rd-of-2,2-3rd-of-2,1-5th-of-2,2-5th-of-2,3-5th-of-2,3,1-3rd-of-3,4,1-3rd-of-4
3,1,1-3rd-of-3,2-3rd-of-3,1-5th-of-3,2-5th-of-3,3-5th-of-3,4,1-3rd-of-4,5,1-3rd-of-5
4,1.333333333,1-3rd-of-4,2-3rd-of-4,1-5th-of-4,2-5th-of-4,3-5th-of-4,5,1-3rd-of-5,6,1-3rd-of-6
5,1.666666667,1-3rd-of-5,2-3rd-of-5,1-5th-of-5,2-5th-of-5,3-5th-of-5,4,1-3rd-of-4,3,1-3rd-of-3
6,2,1-3rd-of-6,2-3rd-of-6,1-5th-of-6,2-5th-of-6,3-5th-of-6,5,1-3rd-of-5,4,1-3rd-of-4
7,2.333333333,1-3rd-of-7,2-3rd-of-7,1-5th-of-7,2-5th-of-7,3-5th-of-7,6,1-3rd-of-6,5,1-3rd-of-5
8,2.666666667,1-3rd-of-8,2-3rd-of-8,1-5th-of-8,2-5th-of-8,3-5th-of-8,7,1-3rd-of-7,6,1-3rd-of-6
9,3,1-3rd-of-9,2-3rd-of-9,1-5th-of-9,2-5th-of-9,3-5th-of-9,8,1-3rd-of-8,7,1-3rd-of-7
10,3.333333333,1-3rd-of-10,2-3rd-of-10,1-5th-of-10,2-5th-of-10,3-5th-of-10,9,1-3rd-of-9,8,1-3rd-of-8
11,3.666666667,1-3rd-of-11,2-3rd-of-11,1-5th-of-11,2-5th-of-11,3-5th-of-11,10,1-3rd-of-10,9,1-3rd-of-9
12,4,1-3rd-of-12,2-3rd-of-12,1-5th-of-12,2-5th-of-12,3-5th-of-12,11,1-3rd-of-11,10,1-3rd-of-10
13,4.333333333,1-3rd-of-13,2-3rd-of-13,1-5th-of-13,2-5th-of-13,3-5th-of-13,12,1-3rd-of-12,11,1-3rd-of-11
14,4.666666667,1-3rd-of-14,2-3rd-of-14,1-5th-of-14,2-5th-of-14,3-5th-of-14,13,1-3rd-of-13,12,1-3rd-of-12
15,5,1-3rd-of-15,2-3rd-of-15,1-5th-of-15,2-5th-of-15,3-5th-of-15,14,1-3rd-of-14,13,1-3rd-of-13
16,5.333333333,1-3rd-of-16,2-3rd-of-16,1-5th-of-16,2-5th-of-16,3-5th-of-16,15,1-3rd-of-15,14,1-3rd-of-14
17,5.666666667,1-3rd-of-17,2-3rd-of-17,1-5th-of-17,2-5th-of-17,3-5th-of-17,16,1-3rd-of-16,15,1-3rd-of-15
18,6,1-3rd-of-18,2-3rd-of-18,1-5th-of-18,2-5th-of-18,3-5th-of-18,17,1-3rd-of-17,16,1-3rd-of-16
19,6.333333333,1-3rd-of-19,2-3rd-of-19,1-5th-of-19,2-5th-of-19,3-5th-of-19,18,1-3rd-of-18,17,1-3rd-of-17
20,6.666666667,1-3rd-of-20,2-3rd-of-20,1-5th-of-20,2-5th-of-20,3-5th-of-20,19,1-3rd-of-19,18,1-3rd-of-18
21,7,1-3rd-of-21,2-3rd-of-21,1-5th-of-21,2-5th-of-21,3-5th-of-21,20,1-3rd-of-20,19,1-3rd-of-19
22,7.333333333,1-3rd-of-22,2-3rd-of-22,1-5th-of-22,2-5th-of-22,3-5th-of-22,21,1-3rd-of-21,20,1-3rd-of-20
23,7.666666667,1-3rd-of-23,2-3rd-of-23,1-5th-of-23,2-5th-of-23,3-5th-of-23,22,1-3rd-of-22,21,1-3rd-of-21
24,8,1-3rd-of-24,2-3rd-of-24,1-5th-of-24,2-5th-of-24,3-5th-of-24,23,1-3rd-of-23,22,1-3rd-of-22
25,8.333333333,1-3rd-of-25,2-3rd-of-25,1-5th-of-25,2-5th-of-25,3-5th-of-25,24,1-3rd-of-24,23,1-3rd-of-23
26,8.666666667,1-3rd-of-26,2-3rd-of-26,1-5th-of-26,2-5th-of-26,3-5th-of-26,25,1-3rd-of-25,24,1-3rd-of-24
27,9,1-3rd-of-27,2-3rd-of-27,1-5th-of-27,2-5th-of-27,3-5th-of-27,26,1-3rd-of-26,25,1-3rd-of-25
28,9.333333333,1-3rd-of-28,2-3rd-of-28,1-5th-of-28,2-5th-of-28,3-5th-of-28,27,1-3rd-of-27,26,1-3rd-of-26
29,9.666666667,1-3rd-of-29,2-3rd-of-29,1-5th-of-29,2-5th-of-29,3-5th-of-29,28,1-3rd-of-28,27,1-3rd-of-27
30,10,1-3rd-of-30,2-3rd-of-30,1-5th-of-30,2-5th-of-30,3-5th-of-30,29,1-3rd-of-29,28,1-3rd-of-28
31,10.33333333,1-3rd-of-31,2-3rd-of-31,1-5th-of-31,2-5th-of-31,3-5th-of-31,30,1-3rd-of-30,29,1-3rd-of-29
32,10.66666667,1-3rd-of-32,2-3rd-of-32,1-5th-of-32,2-5th-of-32,3-5th-of-32,31,1-3rd-of-31,30,1-3rd-of-30
33,11,1-3rd-of-33,2-3rd-of-33,1-5th-of-33,2-5th-of-33,3-5th-of-33,32,1-3rd-of-32,31,1-3rd-of-31
34,11.33333333,1-3rd-of-34,2-3rd-of-34,1-5th-of-34,2-5th-of-34,3-5th-of-34,33,1-3rd-of-33,32,1-3rd-of-32
35,11.66666667,1-3rd-of-35,2-3rd-of-35,1-5th-of-35,2-5th-of-35,3-5th-of-35,34,1-3rd-of-34,33,1-3rd-of-33
36,12,1-3rd-of-36,2-3rd-of-36,1-5th-of-36,2-5th-of-36,3-5th-of-36,35,1-3rd-of-35,34,1-3rd-of-34
37,12.33333333,1-3rd-of-37,2-3rd-of-37,1-5th-of-37,2-5th-of-37,3-5th-of-37,36,1-3rd-of-36,35,1-3rd-of-35
38,12.66666667,1-3rd-of-38,2-3rd-of-38,1-5th-of-38,2-5th-of-38,3-5th-of-38,37,1-3rd-of-37,36,1-3rd-of-36
39,13,1-3rd-of-39,2-3rd-of-39,1-5th-of-39,2-5th-of-39,3-5th-of-39,38,1-3rd-of-38,37,1-3rd-of-37
40,13.33333333,1-3rd-of-40,2-3rd-of-40,1-5th-of-40,2-5th-of-40,3-5th-of-40,39,1-3rd-of-39,38,1-3rd-of-38
41,13.66666667,1-3rd-of-41,2-3rd-of-41,1-5th-of-41,2-5th-of-41,3-5th-of-41,40,1-3rd-of-40,39,1-3rd-of-39
42,14,1-3rd-of-42,2-3rd-of-42,1-5th-of-42,2-5th-of-42,3-5th-of-42,41,1-3rd-of-41,40,1-3rd-of-40
43,14.33333333,1-3rd-of-43,2-3rd-of-43,1-5th-of-43,2-5th-of-43,3-5th-of-43,42,1-3rd-of-42,41,1-3rd-of-41
44,14.66666667,1-3rd-of-44,2-3rd-of-44,1-5th-of-44,2-5th-of-44,3-5th-of-44,43,1-3rd-of-43,42,1-3rd-of-42
45,15,1-3rd-of-45,2-3rd-of-45,1-5th-of-45,2-5th-of-45,3-5th-of-45,44,1-3rd-of-44,43,1-3rd-of-43
46,15.33333333,1-3rd-of-46,2-3rd-of-46,1-5th-of-46,2-5th-of-46,3-5th-of-46,45,1-3rd-of-45,44,1-3rd-of-44
47,15.66666667,1-3rd-of-47,2-3rd-of-47,1-5th-of-47,2-5th-of-47,3-5th-of-47,46,1-3rd-of-46,45,1-3rd-of-45
48,16,1-3rd-of-48,2-3rd-of-48,1-5th-of-48,2-5th-of-48,3-5th-of-48,47,1-3rd-of-47,46,1-3rd-of-46
49,16.33333333,1-3rd-of-49,2-3rd-of-49,1-5th-of-49,2-5th-of-49,3-5th-of-49,48,1-3rd-of-48,47,1-3rd-of-47
50,16.66666667,1-3rd-of-50,2-3rd-of-50,1-5th-of-50,2-5th-of-50,3-5th-of-50,49,1-3rd-of-49,48,1-3rd-of-48
51,17,1-3rd-of-51,2-3rd-of-51,1-5th-of-51,2-5th-of-51,3-5th-of-51,50,1-3rd-of-50,49,1-3rd-of-49
52,17.33333333,1-3rd-of-52,2-3rd-of-52,1-5th-of-52,2-5th-of-52,3-5th-of-52,51,1-3rd-of-51,50,1-3rd-of-50
53,17.66666667,1-3rd-of-53,2-3rd-of-53,1-5th-of-53,2-5th-of-53,3-5th-of-53,52,1-3rd-of-52,51,1-3rd-of-51
54,18,1-3rd-of-54,2-3rd-of-54,1-5th-of-54,2-5th-of-54,3-5th-of-54,53,1-3rd-of-53,52,1-3rd-of-52
55,18.33333333,1-3rd-of-55,2-3rd-of-55,1-5th-of-55,2-5th-of-55,3-5th-of-55,54,1-3rd-of-54,53,1-3rd-of-53
56,18.66666667,1-3rd-of-56,2-3rd-of-56,1-5th-of-56,2-5th-of-56,3-5th-of-56,55,1-3rd-of-55,54,1-3rd-of-54
57,19,1-3rd-of-57,2-3rd-of-57,1-5th-of-57,2-5th-of-57,3-5th-of-57,56,1-3rd-of-56,55,1-3rd-of-55
58,19.33333333,1-3rd-of-58,2-3rd-of-58,1-5th-of-58,2-5th-of-58,3-5th-of-58,57,1-3rd-of-57,56,1-3rd-of-56
59,19.66666667,1-3rd-of-59,2-3rd-of-59,1-5th-of-59,2-5th-of-59,3-5th-of-59,58,1-3rd-of-58,57,1-3rd-of-57
60,20,1-3rd-of-60,2-3rd-of-60,1-5th-of-60,2-5th-of-60,3-5th-of-60,59,1-3rd-of-59,58,1-3rd-of-58
61,20.33333333,1-3rd-of-61,2-3rd-of-61,1-5th-of-61,2-5th-of-61,3-5th-of-61,60,1-3rd-of-60,59,1-3rd-of-59
62,20.66666667,1-3rd-of-62,2-3rd-of-62,1-5th-of-62,2-5th-of-62,3-5th-of-62,61,1-3rd-of-61,60,1-3rd-of-60
63,21,1-3rd-of-63,2-3rd-of-63,1-5th-of-63,2-5th-of-63,3-5th-of-63,62,1-3rd-of-62,61,1-3rd-of-61
64,21.33333333,1-3rd-of-64,2-3rd-of-64,1-5th-of-64,2-5th-of-64,3-5th-of-64,63,1-3rd-of-63,62,1-3rd-of-62
65,21.66666667,1-3rd-of-65,2-3rd-of-65,1-5th-of-65,2-5th-of-65,3-5th-of-65,64,1-3rd-of-64,63,1-3rd-of-63
66,22,1-3rd-of-66,2-3rd-of-66,1-5th-of-66,2-5th-of-66,3-5th-of-66,65,1-3rd-of-65,64,1-3rd-of-64
67,22.33333333,1-3rd-of-67,2-3rd-of-67,1-5th-of-67,2-5th-of-67,3-5th-of-67,66,1-3rd-of-66,65,1-3rd-of-65
68,22.66666667,1-3rd-of-68,2-3rd-of-68,1-5th-of-68,2-5th-of-68,3-5th-of-68,67,1-3rd-of-67,66,1-3rd-of-66
69,23,1-3rd-of-69,2-3rd-of-69,1-5th-of-69,2-5th-of-69,3-5th-of-69,68,1-3rd-of-68,67,1-3rd-of-67
70,23.33333333,1-3rd-of-70,2-3rd-of-70,1-5th-of-70,2-5th-of-70,3-5th-of-70,69,1-3rd-of-69,68,1-3rd-of-68
71,23.66666667,1-3rd-of-71,2-3rd-of-71,1-5th-of-71,2-5th-of-71,3-5th-of-71,70,1-3rd-of-70,69,1-3rd-of-69
72,24,1-3rd-of-72,2-3rd-of-72,1-5th-of-72,2-5th-of-72,3-5th-of-72,71,1-3rd-of-71,70,1-3rd-of-70
73,24.33333333,1-3rd-of-73,2-3rd-of-73,1-5th-of-73,2-5th-of-73,3-5th-of-73,72,1-3rd-of-72,71,1-3rd-of-71
74,24.66666667,1-3rd-of-74,2-3rd-of-74,1-5th-of-74,2-5th-of-74,3-5th-of-74,73,1-3rd-of-73,72,1-3rd-of-72
75,25,1-3rd-of-75,2-3rd-of-75,1-5th-of-75,2-5th-of-75,3-5th-of-75,74,1-3rd-of-74,73,1-3rd-of-73
