num1,twoFifth,fileName,13ex,23ex,15ex,35ex,ex1,ex1Link,ex2,ex2Link
1,0.4,2-5th-of-1,/posts/1-3rd-of-1,/posts/2-3rd-of-1,/posts/1-5th-of-1,/posts/3-5th-of-1,2,/posts/2-5th-of-2,3,/posts/2-5th-of-3
2,0.8,2-5th-of-2,/posts/1-3rd-of-2,/posts/2-3rd-of-2,/posts/1-5th-of-2,/posts/3-5th-of-2,3,/posts/2-5th-of-3,4,/posts/2-5th-of-4
3,1.2,2-5th-of-3,/posts/1-3rd-of-3,/posts/2-3rd-of-3,/posts/1-5th-of-3,/posts/3-5th-of-3,4,/posts/2-5th-of-4,5,/posts/2-5th-of-5
4,1.6,2-5th-of-4,/posts/1-3rd-of-4,/posts/2-3rd-of-4,/posts/1-5th-of-4,/posts/3-5th-of-4,5,/posts/2-5th-of-5,6,/posts/2-5th-of-6
5,2,2-5th-of-5,/posts/1-3rd-of-5,/posts/2-3rd-of-5,/posts/1-5th-of-5,/posts/3-5th-of-5,4,/posts/2-5th-of-4,3,/posts/2-5th-of-3
6,2.4,2-5th-of-6,/posts/1-3rd-of-6,/posts/2-3rd-of-6,/posts/1-5th-of-6,/posts/3-5th-of-6,5,/posts/2-5th-of-5,4,/posts/2-5th-of-4
7,2.8,2-5th-of-7,/posts/1-3rd-of-7,/posts/2-3rd-of-7,/posts/1-5th-of-7,/posts/3-5th-of-7,6,/posts/2-5th-of-6,5,/posts/2-5th-of-5
8,3.2,2-5th-of-8,/posts/1-3rd-of-8,/posts/2-3rd-of-8,/posts/1-5th-of-8,/posts/3-5th-of-8,7,/posts/2-5th-of-7,6,/posts/2-5th-of-6
9,3.6,2-5th-of-9,/posts/1-3rd-of-9,/posts/2-3rd-of-9,/posts/1-5th-of-9,/posts/3-5th-of-9,8,/posts/2-5th-of-8,7,/posts/2-5th-of-7
10,4,2-5th-of-10,/posts/1-3rd-of-10,/posts/2-3rd-of-10,/posts/1-5th-of-10,/posts/3-5th-of-10,9,/posts/2-5th-of-9,8,/posts/2-5th-of-8
11,4.4,2-5th-of-11,/posts/1-3rd-of-11,/posts/2-3rd-of-11,/posts/1-5th-of-11,/posts/3-5th-of-11,10,/posts/2-5th-of-10,9,/posts/2-5th-of-9
12,4.8,2-5th-of-12,/posts/1-3rd-of-12,/posts/2-3rd-of-12,/posts/1-5th-of-12,/posts/3-5th-of-12,11,/posts/2-5th-of-11,10,/posts/2-5th-of-10
13,5.2,2-5th-of-13,/posts/1-3rd-of-13,/posts/2-3rd-of-13,/posts/1-5th-of-13,/posts/3-5th-of-13,12,/posts/2-5th-of-12,11,/posts/2-5th-of-11
14,5.6,2-5th-of-14,/posts/1-3rd-of-14,/posts/2-3rd-of-14,/posts/1-5th-of-14,/posts/3-5th-of-14,13,/posts/2-5th-of-13,12,/posts/2-5th-of-12
15,6,2-5th-of-15,/posts/1-3rd-of-15,/posts/2-3rd-of-15,/posts/1-5th-of-15,/posts/3-5th-of-15,14,/posts/2-5th-of-14,13,/posts/2-5th-of-13
16,6.4,2-5th-of-16,/posts/1-3rd-of-16,/posts/2-3rd-of-16,/posts/1-5th-of-16,/posts/3-5th-of-16,15,/posts/2-5th-of-15,14,/posts/2-5th-of-14
17,6.8,2-5th-of-17,/posts/1-3rd-of-17,/posts/2-3rd-of-17,/posts/1-5th-of-17,/posts/3-5th-of-17,16,/posts/2-5th-of-16,15,/posts/2-5th-of-15
18,7.2,2-5th-of-18,/posts/1-3rd-of-18,/posts/2-3rd-of-18,/posts/1-5th-of-18,/posts/3-5th-of-18,17,/posts/2-5th-of-17,16,/posts/2-5th-of-16
19,7.6,2-5th-of-19,/posts/1-3rd-of-19,/posts/2-3rd-of-19,/posts/1-5th-of-19,/posts/3-5th-of-19,18,/posts/2-5th-of-18,17,/posts/2-5th-of-17
20,8,2-5th-of-20,/posts/1-3rd-of-20,/posts/2-3rd-of-20,/posts/1-5th-of-20,/posts/3-5th-of-20,19,/posts/2-5th-of-19,18,/posts/2-5th-of-18
21,8.4,2-5th-of-21,/posts/1-3rd-of-21,/posts/2-3rd-of-21,/posts/1-5th-of-21,/posts/3-5th-of-21,20,/posts/2-5th-of-20,19,/posts/2-5th-of-19
22,8.8,2-5th-of-22,/posts/1-3rd-of-22,/posts/2-3rd-of-22,/posts/1-5th-of-22,/posts/3-5th-of-22,21,/posts/2-5th-of-21,20,/posts/2-5th-of-20
23,9.2,2-5th-of-23,/posts/1-3rd-of-23,/posts/2-3rd-of-23,/posts/1-5th-of-23,/posts/3-5th-of-23,22,/posts/2-5th-of-22,21,/posts/2-5th-of-21
24,9.6,2-5th-of-24,/posts/1-3rd-of-24,/posts/2-3rd-of-24,/posts/1-5th-of-24,/posts/3-5th-of-24,23,/posts/2-5th-of-23,22,/posts/2-5th-of-22
25,10,2-5th-of-25,/posts/1-3rd-of-25,/posts/2-3rd-of-25,/posts/1-5th-of-25,/posts/3-5th-of-25,24,/posts/2-5th-of-24,23,/posts/2-5th-of-23
26,10.4,2-5th-of-26,/posts/1-3rd-of-26,/posts/2-3rd-of-26,/posts/1-5th-of-26,/posts/3-5th-of-26,25,/posts/2-5th-of-25,24,/posts/2-5th-of-24
27,10.8,2-5th-of-27,/posts/1-3rd-of-27,/posts/2-3rd-of-27,/posts/1-5th-of-27,/posts/3-5th-of-27,26,/posts/2-5th-of-26,25,/posts/2-5th-of-25
28,11.2,2-5th-of-28,/posts/1-3rd-of-28,/posts/2-3rd-of-28,/posts/1-5th-of-28,/posts/3-5th-of-28,27,/posts/2-5th-of-27,26,/posts/2-5th-of-26
29,11.6,2-5th-of-29,/posts/1-3rd-of-29,/posts/2-3rd-of-29,/posts/1-5th-of-29,/posts/3-5th-of-29,28,/posts/2-5th-of-28,27,/posts/2-5th-of-27
30,12,2-5th-of-30,/posts/1-3rd-of-30,/posts/2-3rd-of-30,/posts/1-5th-of-30,/posts/3-5th-of-30,29,/posts/2-5th-of-29,28,/posts/2-5th-of-28
31,12.4,2-5th-of-31,/posts/1-3rd-of-31,/posts/2-3rd-of-31,/posts/1-5th-of-31,/posts/3-5th-of-31,30,/posts/2-5th-of-30,29,/posts/2-5th-of-29
32,12.8,2-5th-of-32,/posts/1-3rd-of-32,/posts/2-3rd-of-32,/posts/1-5th-of-32,/posts/3-5th-of-32,31,/posts/2-5th-of-31,30,/posts/2-5th-of-30
33,13.2,2-5th-of-33,/posts/1-3rd-of-33,/posts/2-3rd-of-33,/posts/1-5th-of-33,/posts/3-5th-of-33,32,/posts/2-5th-of-32,31,/posts/2-5th-of-31
34,13.6,2-5th-of-34,/posts/1-3rd-of-34,/posts/2-3rd-of-34,/posts/1-5th-of-34,/posts/3-5th-of-34,33,/posts/2-5th-of-33,32,/posts/2-5th-of-32
35,14,2-5th-of-35,/posts/1-3rd-of-35,/posts/2-3rd-of-35,/posts/1-5th-of-35,/posts/3-5th-of-35,34,/posts/2-5th-of-34,33,/posts/2-5th-of-33
36,14.4,2-5th-of-36,/posts/1-3rd-of-36,/posts/2-3rd-of-36,/posts/1-5th-of-36,/posts/3-5th-of-36,35,/posts/2-5th-of-35,34,/posts/2-5th-of-34
37,14.8,2-5th-of-37,/posts/1-3rd-of-37,/posts/2-3rd-of-37,/posts/1-5th-of-37,/posts/3-5th-of-37,36,/posts/2-5th-of-36,35,/posts/2-5th-of-35
38,15.2,2-5th-of-38,/posts/1-3rd-of-38,/posts/2-3rd-of-38,/posts/1-5th-of-38,/posts/3-5th-of-38,37,/posts/2-5th-of-37,36,/posts/2-5th-of-36
39,15.6,2-5th-of-39,/posts/1-3rd-of-39,/posts/2-3rd-of-39,/posts/1-5th-of-39,/posts/3-5th-of-39,38,/posts/2-5th-of-38,37,/posts/2-5th-of-37
40,16,2-5th-of-40,/posts/1-3rd-of-40,/posts/2-3rd-of-40,/posts/1-5th-of-40,/posts/3-5th-of-40,39,/posts/2-5th-of-39,38,/posts/2-5th-of-38
41,16.4,2-5th-of-41,/posts/1-3rd-of-41,/posts/2-3rd-of-41,/posts/1-5th-of-41,/posts/3-5th-of-41,40,/posts/2-5th-of-40,39,/posts/2-5th-of-39
42,16.8,2-5th-of-42,/posts/1-3rd-of-42,/posts/2-3rd-of-42,/posts/1-5th-of-42,/posts/3-5th-of-42,41,/posts/2-5th-of-41,40,/posts/2-5th-of-40
43,17.2,2-5th-of-43,/posts/1-3rd-of-43,/posts/2-3rd-of-43,/posts/1-5th-of-43,/posts/3-5th-of-43,42,/posts/2-5th-of-42,41,/posts/2-5th-of-41
44,17.6,2-5th-of-44,/posts/1-3rd-of-44,/posts/2-3rd-of-44,/posts/1-5th-of-44,/posts/3-5th-of-44,43,/posts/2-5th-of-43,42,/posts/2-5th-of-42
45,18,2-5th-of-45,/posts/1-3rd-of-45,/posts/2-3rd-of-45,/posts/1-5th-of-45,/posts/3-5th-of-45,44,/posts/2-5th-of-44,43,/posts/2-5th-of-43
46,18.4,2-5th-of-46,/posts/1-3rd-of-46,/posts/2-3rd-of-46,/posts/1-5th-of-46,/posts/3-5th-of-46,45,/posts/2-5th-of-45,44,/posts/2-5th-of-44
47,18.8,2-5th-of-47,/posts/1-3rd-of-47,/posts/2-3rd-of-47,/posts/1-5th-of-47,/posts/3-5th-of-47,46,/posts/2-5th-of-46,45,/posts/2-5th-of-45
48,19.2,2-5th-of-48,/posts/1-3rd-of-48,/posts/2-3rd-of-48,/posts/1-5th-of-48,/posts/3-5th-of-48,47,/posts/2-5th-of-47,46,/posts/2-5th-of-46
49,19.6,2-5th-of-49,/posts/1-3rd-of-49,/posts/2-3rd-of-49,/posts/1-5th-of-49,/posts/3-5th-of-49,48,/posts/2-5th-of-48,47,/posts/2-5th-of-47
50,20,2-5th-of-50,/posts/1-3rd-of-50,/posts/2-3rd-of-50,/posts/1-5th-of-50,/posts/3-5th-of-50,49,/posts/2-5th-of-49,48,/posts/2-5th-of-48
51,20.4,2-5th-of-51,/posts/1-3rd-of-51,/posts/2-3rd-of-51,/posts/1-5th-of-51,/posts/3-5th-of-51,50,/posts/2-5th-of-50,49,/posts/2-5th-of-49
52,20.8,2-5th-of-52,/posts/1-3rd-of-52,/posts/2-3rd-of-52,/posts/1-5th-of-52,/posts/3-5th-of-52,51,/posts/2-5th-of-51,50,/posts/2-5th-of-50
53,21.2,2-5th-of-53,/posts/1-3rd-of-53,/posts/2-3rd-of-53,/posts/1-5th-of-53,/posts/3-5th-of-53,52,/posts/2-5th-of-52,51,/posts/2-5th-of-51
54,21.6,2-5th-of-54,/posts/1-3rd-of-54,/posts/2-3rd-of-54,/posts/1-5th-of-54,/posts/3-5th-of-54,53,/posts/2-5th-of-53,52,/posts/2-5th-of-52
55,22,2-5th-of-55,/posts/1-3rd-of-55,/posts/2-3rd-of-55,/posts/1-5th-of-55,/posts/3-5th-of-55,54,/posts/2-5th-of-54,53,/posts/2-5th-of-53
56,22.4,2-5th-of-56,/posts/1-3rd-of-56,/posts/2-3rd-of-56,/posts/1-5th-of-56,/posts/3-5th-of-56,55,/posts/2-5th-of-55,54,/posts/2-5th-of-54
57,22.8,2-5th-of-57,/posts/1-3rd-of-57,/posts/2-3rd-of-57,/posts/1-5th-of-57,/posts/3-5th-of-57,56,/posts/2-5th-of-56,55,/posts/2-5th-of-55
58,23.2,2-5th-of-58,/posts/1-3rd-of-58,/posts/2-3rd-of-58,/posts/1-5th-of-58,/posts/3-5th-of-58,57,/posts/2-5th-of-57,56,/posts/2-5th-of-56
59,23.6,2-5th-of-59,/posts/1-3rd-of-59,/posts/2-3rd-of-59,/posts/1-5th-of-59,/posts/3-5th-of-59,58,/posts/2-5th-of-58,57,/posts/2-5th-of-57
60,24,2-5th-of-60,/posts/1-3rd-of-60,/posts/2-3rd-of-60,/posts/1-5th-of-60,/posts/3-5th-of-60,59,/posts/2-5th-of-59,58,/posts/2-5th-of-58
61,24.4,2-5th-of-61,/posts/1-3rd-of-61,/posts/2-3rd-of-61,/posts/1-5th-of-61,/posts/3-5th-of-61,60,/posts/2-5th-of-60,59,/posts/2-5th-of-59
62,24.8,2-5th-of-62,/posts/1-3rd-of-62,/posts/2-3rd-of-62,/posts/1-5th-of-62,/posts/3-5th-of-62,61,/posts/2-5th-of-61,60,/posts/2-5th-of-60
63,25.2,2-5th-of-63,/posts/1-3rd-of-63,/posts/2-3rd-of-63,/posts/1-5th-of-63,/posts/3-5th-of-63,62,/posts/2-5th-of-62,61,/posts/2-5th-of-61
