num,kmh_mph,mph_kmh,kmh_kms,kmh_mh,kmh_ms,kmh_fph,kmh_fps,kmh_nmph,kmh_nmps,kmh_yph,kmh_yps,kmh_mach,kmh_knots,mph_mps,mph_mh,mph_ms,mph_fph,mph_fps,mph_nmph,mph_nmps,mph_yph,mph_yps,mph_mach,mph_knots,kmh_mph1,kmh_mph2,kmh_mph3,kmh_mph4,kmh_mph5,kmh_mph6,kmh_mph7,kmh_mph8,kmh_mph9,mph_kmh1,mph_kmh2,mph_kmh3,mph_kmh4,mph_kmh5,mph_kmh6,mph_kmh7,mph_kmh8,mph_kmh9
1,0.621371,1.609344,0.000277778,1000,0.277777778,3280.84,0.911344444,0.5399568,0.000149988,1093.613298,0.303781472,0.000838448,0.5399568,0.000277778,1609.344,0.44704,5280,1.466666667,0.868976,0.000241382,1760,0.488888889,0.001303,0.868976,0.6835081,0.7456452,0.8077823,0.8699194,0.9320565,0.9941936,1.0563307,1.1184678,1.1806049,1.7702784,1.9312128,2.0921472,2.2530816,2.414016,2.5749504,2.7358848,2.8968192,3.0577536
2,1.242742,3.218688,0.000555556,2000,0.555555556,6561.68,1.822688889,1.0799136,0.000299976,2187.226597,0.607562944,0.001676896,1.0799136,0.000555556,3218.688,0.89408,10560,2.933333333,1.737952,0.000482764,3520,0.977777778,0.002606,1.737952,1.3048791,1.3670162,1.4291533,1.4912904,1.5534275,1.6155646,1.6777017,1.7398388,1.8019759,3.3796224,3.5405568,3.7014912,3.8624256,4.02336,4.1842944,4.3452288,4.5061632,4.6670976
3,1.864113,4.828032,0.000833333,3000,0.833333333,9842.52,2.734033333,1.6198704,0.000449964,3280.839895,0.911344415,0.002515344,1.6198704,0.000833333,4828.032,1.34112,15840,4.4,2.606928,0.000724147,5280,1.466666667,0.003909,2.606928,1.9262501,1.9883872,2.0505243,2.1126614,2.1747985,2.2369356,2.2990727,2.3612098,2.4233469,4.9889664,5.1499008,5.3108352,5.4717696,5.632704,5.7936384,5.9545728,6.1155072,6.2764416
4,2.485484,6.437376,0.001111111,4000,1.111111111,13123.36,3.645377778,2.1598272,0.000599952,4374.453193,1.215125887,0.003353791,2.1598272,0.001111111,6437.376,1.78816,21120,5.866666667,3.475904,0.000965529,7040,1.955555556,0.005212,3.475904,2.5476211,2.6097582,2.6718953,2.7340324,2.7961695,2.8583066,2.9204437,2.9825808,3.0447179,6.5983104,6.7592448,6.9201792,7.0811136,7.242048,7.4029824,7.5639168,7.7248512,7.8857856
5,3.106855,8.04672,0.001388889,5000,1.388888889,16404.2,4.556722222,2.699784,0.00074994,5468.066492,1.518907359,0.004192239,2.699784,0.001388889,8046.72,2.2352,26400,7.333333333,4.34488,0.001206911,8800,2.444444444,0.006515,4.34488,3.1689921,3.2311292,3.2932663,3.3554034,3.4175405,3.4796776,3.5418147,3.6039518,3.6660889,8.2076544,8.3685888,8.5295232,8.6904576,8.851392,9.0123264,9.1732608,9.3341952,9.4951296
6,3.728226,9.656064,0.001666667,6000,1.666666667,19685.04,5.468066667,3.2397408,0.000899928,6561.67979,1.822688831,0.005030687,3.2397408,0.001666667,9656.064,2.68224,31680,8.8,5.213856,0.001448293,10560,2.933333333,0.007818,5.213856,3.7903631,3.8525002,3.9146373,3.9767744,4.0389115,4.1010486,4.1631857,4.2253228,4.2874599,9.8169984,9.9779328,10.1388672,10.2998016,10.460736,10.6216704,10.7826048,10.9435392,11.1044736
7,4.349597,11.265408,0.001944444,7000,1.944444444,22965.88,6.379411111,3.7796976,0.001049916,7655.293088,2.126470302,0.005869135,3.7796976,0.001944444,11265.408,3.12928,36960,10.26666667,6.082832,0.001689676,12320,3.422222222,0.009121,6.082832,4.4117341,4.4738712,4.5360083,4.5981454,4.6602825,4.7224196,4.7845567,4.8466938,4.9088309,11.4263424,11.5872768,11.7482112,11.9091456,12.07008,12.2310144,12.3919488,12.5528832,12.7138176
8,4.970968,12.874752,0.002222222,8000,2.222222222,26246.72,7.290755556,4.3196544,0.001199904,8748.906386,2.430251774,0.006707583,4.3196544,0.002222222,12874.752,3.57632,42240,11.73333333,6.951808,0.001931058,14080,3.911111111,0.010424,6.951808,5.0331051,5.0952422,5.1573793,5.2195164,5.2816535,5.3437906,5.4059277,5.4680648,5.5302019,13.0356864,13.1966208,13.3575552,13.5184896,13.679424,13.8403584,14.0012928,14.1622272,14.3231616
9,5.592339,14.484096,0.0025,9000,2.5,29527.56,8.2021,4.8596112,0.001349892,9842.519685,2.734033246,0.007546031,4.8596112,0.0025,14484.096,4.02336,47520,13.2,7.820784,0.00217244,15840,4.4,0.011727,7.820784,5.6544761,5.7166132,5.7787503,5.8408874,5.9030245,5.9651616,6.0272987,6.0894358,6.1515729,14.6450304,14.8059648,14.9668992,15.1278336,15.288768,15.4497024,15.6106368,15.7715712,15.9325056
10,6.21371,16.09344,0.002777778,10000,2.777777778,32808.4,9.113444444,5.399568,0.00149988,10936.13298,3.037814718,0.008384479,5.399568,0.002777778,16093.44,4.4704,52800,14.66666667,8.68976,0.002413822,17600,4.888888889,0.01303,8.68976,6.2758471,6.3379842,6.4001213,6.4622584,6.5243955,6.5865326,6.6486697,6.7108068,6.7729439,16.2543744,16.4153088,16.5762432,16.7371776,16.898112,17.0590464,17.2199808,17.3809152,17.5418496
11,6.835081,17.702784,0.003055556,11000,3.055555556,36089.24,10.02478889,5.9395248,0.001649868,12029.74628,3.341596189,0.009222927,5.9395248,0.003055556,17702.784,4.91744,58080,16.13333333,9.558736,0.002655204,19360,5.377777778,0.014333,9.558736,6.8972181,6.9593552,7.0214923,7.0836294,7.1457665,7.2079036,7.2700407,7.3321778,7.3943149,17.8637184,18.0246528,18.1855872,18.3465216,18.507456,18.6683904,18.8293248,18.9902592,19.1511936
12,7.456452,19.312128,0.003333333,12000,3.333333333,39370.08,10.93613333,6.4794816,0.001799856,13123.35958,3.645377661,0.010061374,6.4794816,0.003333333,19312.128,5.36448,63360,17.6,10.427712,0.002896587,21120,5.866666667,0.015636,10.427712,7.5185891,7.5807262,7.6428633,7.7050004,7.7671375,7.8292746,7.8914117,7.9535488,8.0156859,19.4730624,19.6339968,19.7949312,19.9558656,20.1168,20.2777344,20.4386688,20.5996032,20.7605376
13,8.077823,20.921472,0.003611111,13000,3.611111111,42650.92,11.84747778,7.0194384,0.001949844,14216.97288,3.949159133,0.010899822,7.0194384,0.003611111,20921.472,5.81152,68640,19.06666667,11.296688,0.003137969,22880,6.355555556,0.016939,11.296688,8.1399601,8.2020972,8.2642343,8.3263714,8.3885085,8.4506456,8.5127827,8.5749198,8.6370569,21.0824064,21.2433408,21.4042752,21.5652096,21.726144,21.8870784,22.0480128,22.2089472,22.3698816
14,8.699194,22.530816,0.003888889,14000,3.888888889,45931.76,12.75882222,7.5593952,0.002099832,15310.58618,4.252940605,0.01173827,7.5593952,0.003888889,22530.816,6.25856,73920,20.53333333,12.165664,0.003379351,24640,6.844444444,0.018242,12.165664,8.7613311,8.8234682,8.8856053,8.9477424,9.0098795,9.0720166,9.1341537,9.1962908,9.2584279,22.6917504,22.8526848,23.0136192,23.1745536,23.335488,23.4964224,23.6573568,23.8182912,23.9792256
15,9.320565,24.14016,0.004166667,15000,4.166666667,49212.6,13.67016667,8.099352,0.00224982,16404.19947,4.556722076,0.012576718,8.099352,0.004166667,24140.16,6.7056,79200,22,13.03464,0.003620733,26400,7.333333333,0.019545,13.03464,9.3827021,9.4448392,9.5069763,9.5691134,9.6312505,9.6933876,9.7555247,9.8176618,9.8797989,24.3010944,24.4620288,24.6229632,24.7838976,24.944832,25.1057664,25.2667008,25.4276352,25.5885696
16,9.941936,25.749504,0.004444444,16000,4.444444444,52493.44,14.58151111,8.6393088,0.002399808,17497.81277,4.860503548,0.013415166,8.6393088,0.004444444,25749.504,7.15264,84480,23.46666667,13.903616,0.003862116,28160,7.822222222,0.020848,13.903616,10.0040731,10.0662102,10.1283473,10.1904844,10.2526215,10.3147586,10.3768957,10.4390328,10.5011699,25.9104384,26.0713728,26.2323072,26.3932416,26.554176,26.7151104,26.8760448,27.0369792,27.1979136
17,10.563307,27.358848,0.004722222,17000,4.722222222,55774.28,15.49285556,9.1792656,0.002549796,18591.42607,5.16428502,0.014253614,9.1792656,0.004722222,27358.848,7.59968,89760,24.93333333,14.772592,0.004103498,29920,8.311111111,0.022151,14.772592,10.6254441,10.6875812,10.7497183,10.8118554,10.8739925,10.9361296,10.9982667,11.0604038,11.1225409,27.5197824,27.6807168,27.8416512,28.0025856,28.16352,28.3244544,28.4853888,28.6463232,28.8072576
18,11.184678,28.968192,0.005,18000,5,59055.12,16.4042,9.7192224,0.002699784,19685.03937,5.468066492,0.015092062,9.7192224,0.005,28968.192,8.04672,95040,26.4,15.641568,0.00434488,31680,8.8,0.023454,15.641568,11.2468151,11.3089522,11.3710893,11.4332264,11.4953635,11.5575006,11.6196377,11.6817748,11.7439119,29.1291264,29.2900608,29.4509952,29.6119296,29.772864,29.9337984,30.0947328,30.2556672,30.4166016
19,11.806049,30.577536,0.005277778,19000,5.277777778,62335.96,17.31554444,10.2591792,0.002849772,20778.65267,5.771847963,0.01593051,10.2591792,0.005277778,30577.536,8.49376,100320,27.86666667,16.510544,0.004586262,33440,9.288888889,0.024757,16.510544,11.8681861,11.9303232,11.9924603,12.0545974,12.1167345,12.1788716,12.2410087,12.3031458,12.3652829,30.7384704,30.8994048,31.0603392,31.2212736,31.382208,31.5431424,31.7040768,31.8650112,32.0259456
